B08010,!!0AW
B08011,!!0BO
C44101,!"3U0
C44102,!"3WO
C44109,!"42S
C44111,!"47S
C44112,!"4AG
C44119,!"4MO
C44121,!"4QC
C44122,!"4T0
C44129,!"54W
C44191,!"7DO
C44192,!"7GC
C44199,!"7MG
C44201,!"7WK
C44202,!"7YG
C44209,!"830
C44211,!"86W
C44212,!"88C
C44219,!"8FC
C44221,!"8JG
C44222,!"8LW
C44229,!"8YG
C44291,!"BIG
C44292,!"BKC
C44299,!"BQO
C44300,!"BZ8
C44301,!"C04
C44309,!"C98
C44310,!"CCO
C44311,!"CDK
C44319,!"CL4
C44320,!"CNS
C44321,!"COO
C44329,!"D28
C44390,!"FJO
C44391,!"FKK
C44399,!"FTO
C44500,!"JVS
C44501,!"JWK
C44509,!"K4S
C44510,!"K80
C44511,!"K8G
C44519,!"KN0
C44520,!"KR4
C44521,!"KRK
C44529,!"KXS
C44590,!"MEW
C44591,!"MFO
C44599,!"MOG
C44601,!"MZC
C44602,!"N18
C44609,!"N8G
C44611,!"NCS
C44612,!"NEO
C44619,!"NPW
C44621,!"NUC
C44622,!"NV8
C44629,!"O1G
C44691,!"PLC
C44692,!"PN8
C44699,!"PRS
C44701,!"Q08
C44702,!"Q0O
C44709,!"Q1C
C44711,!"Q3G
C44712,!"Q3W
C44719,!"Q5W
C44721,!"Q80
C44722,!"Q8G
C44729,!"Q9S
C44791,!"QQC
C44792,!"QQS
C44799,!"QS8
C50011,!#0BO
C50012,!#0EC
C50019,!#0R4
C50021,!#0W4
C50022,!#0Y8
C50029,!#18S
C50111,!#47S
C50112,!#4AG
C50119,!#4MO
C50121,!#4QC
C50122,!#4T0
C50129,!#54W
C50211,!#86W
C50212,!#88C
C50219,!#8FC
C50221,!#8JG
C50222,!#8LW
C50229,!#8YG
C50311,!#CDK
C50312,!#CEO
C50319,!#CL4
C50321,!#COO
C50322,!#CQS
C50329,!#D28
C50411,!#GDK
C50412,!#GFO
C50419,!#GQ8
C50421,!#GT0
C50422,!#GV4
C50429,!#H5O
C50511,!#K8G
C50512,!#KB4
C50519,!#KN0
C50521,!#KRK
C50522,!#KSG
C50529,!#KXS
C50611,!#NCS
C50612,!#NEO
C50619,!#NPW
C50621,!#NUC
C50622,!#NV8
C50629,!#O1G
C50811,!#R3S
C50812,!#R4O
C50819,!#R9O
C50821,!#RCW
C50822,!#REG
C50829,!#RJG
C50911,!#UF0
